title,location,price
4 Bedroom Flat & Apartment,  Lavington,33000000
3 Bedroom Flat & Apartment,  Lavington,17500000
3 Bedroom Flat & Apartment,  Lavington,17500000
3 Bedroom Flat & Apartment,  Lavington,17500000
3 Bedroom Flat & Apartment,  Lavington,17500000
Commercial Property,  Mwanzi Road,30000000
3 Bedroom Flat & Apartment,  Lavington,17500000
4 Bedroom Flat & Apartment,  Lavington,21000000
4 Bedroom Townhouse,  Lavington,61000000
3 Bedroom Townhouse,  Kilimani,30000000
5 Bedroom Townhouse,  Lavington,150000000
2 Bedroom Flat & Apartment,  Dennis Pritt,24550000
Warehouse,  Icd Road - Off Mombasa Road ,56000000
4 Bedroom Townhouse,  Kyuna,95000000
Flat & Apartment,  Kingara Road,20000000
3 Bedroom Flat & Apartment,  Riverside,19000000
4 Bedroom Flat & Apartment,  Kingara Road,20000000
4 Bedroom Flat & Apartment,  Kingara Road,20000000
4 Bedroom Flat & Apartment,  Kingara Road,20000000
4 Bedroom Flat & Apartment,  Kingara Road,20000000
5 Bedroom House,  Ridgeways,90000000
4 Bedroom Flat & Apartment,  Githuri Road,28000000
3 Bedroom House,  Kiambu Road,29000000
3 Bedroom Flat & Apartment,  Gatundu Close Rd,22500000
2 Bedroom Flat & Apartment,  Dennis Pritt,8000000
3 Bedroom Flat & Apartment,  Lavington,24000000
Office,  Gigiri,180
3 Bedroom Flat & Apartment,  Kilimani,17900000
4 Bedroom Flat & Apartment,  General Mathenge Drive,90000000
3 Bedroom Flat & Apartment,  Dennis Pritt Road,15300000
3 Bedroom Flat & Apartment,  Kilimani,15900000
3 Bedroom Flat & Apartment,  Kilimani,17000000
3 Bedroom Flat & Apartment,  Kilimani,15900000
3 Bedroom Flat & Apartment,  Kilimani,17000000
3 Bedroom Flat & Apartment,  Kilimani,15900000
3 Bedroom Flat & Apartment,  Kilimani,17000000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,14000000
Flat & Apartment,  Dennis Pritt,4500000
3 Bedroom Flat & Apartment,  Othaya Road,17500000
3 Bedroom Flat & Apartment,  Brookside,22000000
4 Bedroom Flat & Apartment,  Kilimani,36000000
3 Bedroom Flat & Apartment,  Kilimani,10300000
3 Bedroom Flat & Apartment,  Kilimani,10300000
3 Bedroom Flat & Apartment,  Kilimani,10300000
2 Bedroom Flat & Apartment,  Kileleshwa,15000000
5 Bedroom Bungalow,  Barrier 5,115000000
4 Bedroom Flat & Apartment,  Riara Road,15900000
4 Bedroom Flat & Apartment,  Riara Road,15900000
4 Bedroom Flat & Apartment,  Kilimani,15900000
4 Bedroom Flat & Apartment,  Kilimani,15900000
4 Bedroom Flat & Apartment,  Kilimani,15900000
3 Bedroom Flat & Apartment,  Kileleshwa,24000000
Flat & Apartment,  Denis Pritt,9700000
4 Bedroom Flat & Apartment,  Kilimani,36000000
3 Bedroom Flat & Apartment,  Rhapta,25000000
3 Bedroom Flat & Apartment,  Rhapta,25000000
3 Bedroom Flat & Apartment,  Rhapta,25000000
3 Bedroom Flat & Apartment,  Rhapta,25000000
3 Bedroom Flat & Apartment,  Denis Pritt,15000000
3 Bedroom Flat & Apartment,  Rhapta,25000000
4 Bedroom Flat & Apartment,  Othaya Road,25000000
2 Bedroom Flat & Apartment,  Kilimani,8500000
4 Bedroom Flat & Apartment,  Kileleshwa,21500000
3 Bedroom Flat & Apartment,  Kilimani,18000000
Flat & Apartment,  Kibichiku,2300000
4 Bedroom Townhouse,  Kiambu Road,36000000
6 Bedroom Flat & Apartment,  Kileleshwa,31000000
8 Bedroom House,  Valley Arcade,195000000
5 Bedroom Townhouse,  Kileleshwa,65000000
4 Bedroom Flat & Apartment,  Parklands,23000000
5 Bedroom Townhouse,  Kileleshwa,65000000
5 Bedroom Townhouse,  Kileleshwa,65000000
7 Bedroom Townhouse,  Kileleshwa,65000000
5 Bedroom Townhouse,  Kileleshwa,65000000
6 Bedroom House,  Karen,120000000
3 Bedroom Bungalow,  Ngong,6600000
3 Bedroom Bungalow,  Ngong,6300000
2 Bedroom Flat & Apartment,  Lavington,8500000
2 Bedroom Flat & Apartment,  Lavington,8500000
2 Bedroom Flat & Apartment,  Lavington,8500000
3 Bedroom Flat & Apartment,  Brookside,35000000
3 Bedroom Flat & Apartment,  Sports,25000000
3 Bedroom Flat & Apartment,  Sports,25000000
3 Bedroom Flat & Apartment,  Sports,25000000
3 Bedroom Flat & Apartment,  Sports,25000000
5 Bedroom Townhouse,  Othaya Road,47000000
2 Bedroom Flat & Apartment,  Kilimani,17500000
3 Bedroom Flat & Apartment,  Kingara,11000000
4 Bedroom Townhouse,  Kahawa West,12000000
5 Bedroom Townhouse,  Lavington,100000000
Flat & Apartment,  Kileleshwa,3800000
2 Bedroom Flat & Apartment,  Laikipia Road,8500000
3 Bedroom Flat & Apartment,  Lavington,10000000
3 Bedroom Flat & Apartment,  Lavington,10000000
3 Bedroom Flat & Apartment,  Lavington,10000000
3 Bedroom House,  3Rd Parklands Avenue ,15000000
4 Bedroom Townhouse,  Ridgeways,30000000
5 Bedroom Townhouse,  Riara Road,50000000
5 Bedroom Townhouse,  Covert Drive,55000000
5 Bedroom Townhouse,  Convert Drive,55000000
5 Bedroom Townhouse,  Convert Drive,55000000
5 Bedroom Townhouse,  Convert Drive,55000000
5 Bedroom Townhouse,  Convert Drive,55000000
5 Bedroom Townhouse,  Lavington,85000000
5 Bedroom Townhouse,  Riara Road,50000000
5 Bedroom Townhouse,  Kiambu Road,65250000
Flat & Apartment,  Kileleshwa,3600000
Flat & Apartment,  Kileleshwa,3600000
Flat & Apartment,  Kileleshwa,3600000
4 Bedroom Townhouse,  Kiambu Road,40750000
6 Bedroom Flat & Apartment,  Convent Drive,85000000
3 Bedroom Flat & Apartment,  Kileleshwa,21000000
3 Bedroom Flat & Apartment,  Kilungu Road,13000000
2 Bedroom House,  Muthaiga Rise,165000000
5 Bedroom Townhouse,  Runda,28000000
3 Bedroom Flat & Apartment,  Laikipia Road,21000000
4 Bedroom Flat & Apartment,  Kileleshwa,55000000
Studio,  Dennis Pritt,3600000
4 Bedroom Flat & Apartment,  Kilimani,40000000
3 Bedroom Townhouse,  6Th Parklands Avenue - Taza Lane ,13000000
4 Bedroom Flat & Apartment,  Kileleshwa,50000000
3 Bedroom Flat & Apartment,  Kilimani,37000000
5 Bedroom Townhouse,  Lavington,75000000
